timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-01-01 03:00:00,16548.19,16548.19,16518.21,16529.89,2812.80041,1672543799999,46492505.86057900,87133,1352.43700000,22354176.61050520,0
2023-01-01 03:30:00,16529.89,16537.72,16526.74,16533.04,1429.28009,1672545599999,23630036.07687540,50591,743.65587000,12294867.87462520,0
2023-01-01 04:00:00,16533.04,16535.97,16516.49,16518.59,2251.36363,1672547399999,37205350.61888990,64324,1112.29293000,18381501.68890890,0
2023-01-01 04:30:00,16518.31,16526.99,16511.92,16521.85,2033.64546,1672549199999,33597293.85925470,65211,1076.10882000,17778316.33516230,0
2023-01-01 05:00:00,16522.22,16524.0,16512.3,16521.07,2048.58468,1672550999999,33839262.85622360,64151,1046.16817000,17281350.09558460,0
2023-01-01 05:30:00,16521.42,16534.98,16514.79,16530.71,1668.7871,1672552799999,27572954.27115410,54390,879.48766000,14531541.48987160,0
2023-01-01 06:00:00,16530.71,16550.0,16528.81,16544.63,1925.38852,1672554599999,31847612.91650140,58313,930.47785000,15390744.37894810,0
2023-01-01 06:30:00,16545.02,16546.93,16538.41,16539.79,1419.51354,1672556399999,23481947.73694970,47761,694.68394000,11491712.67869280,0
2023-01-01 07:00:00,16539.79,16544.57,16499.01,16522.78,3289.55667,1672558199999,54346650.83378310,86470,1535.88167000,25374325.92072980,0
2023-01-01 07:30:00,16522.28,16532.37,16504.17,16526.19,1895.40155,1672559999999,31316941.09591580,62075,940.70848000,15543247.44456470,0
2023-01-01 08:00:00,16525.7,16534.03,16513.24,16523.23,2146.40427,1672561799999,35465225.66385930,67881,1039.20320000,17171185.83731500,0
2023-01-01 08:30:00,16522.83,16527.11,16508.45,16513.34,2125.51596,1672563599999,35103157.79392340,67724,1053.19950000,17393834.25669880,0
2023-01-01 09:00:00,16513.33,16522.63,16505.2,16514.23,2003.4674,1672565399999,33085409.35557940,65709,1005.80693000,16610066.97513750,0
2023-01-01 09:30:00,16514.64,16542.49,16514.22,16537.88,2097.28309,1672567199999,34668786.62662960,68361,1097.53446000,18142608.71461950,0
2023-01-01 10:00:00,16538.32,16547.38,16533.42,16544.07,1980.54253,1672568999999,32757394.92457690,65899,1019.03417000,16854613.74745320,0
2023-01-01 10:30:00,16543.69,16548.71,16533.79,16548.34,1823.22363,1672570799999,30156125.05145410,62146,919.05447000,15201350.70156080,0
2023-01-01 11:00:00,16547.98,16552.67,16540.2,16544.56,1829.20618,1672572599999,30267977.55150420,67445,894.61153000,14803412.10353210,0
2023-01-01 11:30:00,16544.56,16557.0,16542.14,16556.66,1910.32395,1672574399999,31615915.22876950,66593,975.78762000,16149518.26667040,0
2023-01-01 12:00:00,16556.66,16572.42,16548.58,16564.27,2563.28252,1672576199999,42448326.28471530,82718,1283.91946000,21262155.09414180,0
2023-01-01 12:30:00,16564.06,16572.94,16555.0,16560.93,1587.20312,1672577999999,26285011.77082980,64082,781.01040000,12934018.91251040,0
2023-01-01 13:00:00,16561.29,16567.26,16541.27,16550.92,2187.89837,1672579799999,36219784.01520270,75595,1048.36089000,17355570.56899130,0
2023-01-01 13:30:00,16550.92,16552.0,16539.05,16548.04,2191.78366,1672581599999,36263414.29425910,75611,1083.89694000,17933509.32711170,0
2023-01-01 14:00:00,16547.61,16558.19,16545.34,16556.53,1631.70451,1672583399999,27008232.36178670,56506,850.79490000,14082615.33853940,0
2023-01-01 14:30:00,16556.15,16558.56,16540.85,16542.94,1663.28642,1672585199999,27526783.18056550,53906,810.19722000,13408667.71145790,0
2023-01-01 15:00:00,16542.94,16549.78,16533.68,16542.89,1767.6181,1672586999999,29242457.14315910,60299,895.78423000,14819529.56992420,0
2023-01-01 15:30:00,16543.28,16559.99,16542.0,16558.73,1453.31426,1672588799999,24050506.33432870,51959,761.73119000,12605875.01885660,0
2023-01-01 16:00:00,16558.73,16584.66,16558.0,16577.68,2912.49862,1672590599999,48255034.46139050,85713,1498.04573000,24820423.77354930,0
2023-01-01 16:30:00,16578.16,16584.3,16559.56,16565.14,2049.63373,1672592399999,33962201.69922430,66504,1016.77775000,16848230.03636800,0
2023-01-01 17:00:00,16565.13,16596.64,16562.51,16582.65,2857.1389,1672594199999,47366666.36400040,88243,1489.75832000,24698223.84187500,0
2023-01-01 17:30:00,16582.65,16589.52,16572.11,16578.85,1857.26464,1672595999999,30794347.98789510,63650,905.90519000,15020532.95076190,0
2023-01-01 18:00:00,16579.25,16603.89,16578.85,16594.11,2395.69269,1672597799999,39751866.14458500,78907,1272.16345000,21109382.88339540,0
2023-01-01 18:30:00,16593.68,16599.34,16586.2,16591.88,1750.67976,1672599599999,29048832.74685160,62499,883.94537000,14667403.08955930,0
2023-01-01 19:00:00,16591.35,16623.65,16591.34,16618.35,2649.0259,1672601399999,43993979.11672910,84014,1371.97028000,22785271.65094420,0
2023-01-01 19:30:00,16617.84,16623.17,16592.76,16603.08,2060.71433,1672603199999,34229034.00409070,64966,998.83906000,16591613.29501010,0
2023-01-01 20:00:00,16603.53,16628.0,16600.55,16616.08,2308.09184,1672604999999,38341515.92144030,78522,1196.95312000,19883973.21051340,0
2023-01-01 20:30:00,16616.08,16624.19,16601.04,16604.51,1880.96134,1672606799999,31248867.61635200,69327,929.65858000,15444828.09109710,0
2023-01-01 21:00:00,16604.51,16608.31,16592.63,16601.35,1928.25135,1672608599999,32009854.22053170,70286,965.98427000,16035868.92439260,0
2023-01-01 21:30:00,16601.8,16608.83,16596.99,16606.68,1728.52669,1672610399999,28699149.72225160,66218,892.76647000,14823032.54056830,0
2023-01-01 22:00:00,16607.02,16613.85,16586.24,16595.55,1885.45128,1672612199999,31300184.76743420,63883,928.92908000,15421339.36647360,0
2023-01-01 22:30:00,16595.55,16602.97,16592.24,16602.12,1804.74533,1672613999999,29953995.97891380,62564,937.97647000,15568247.02339550,0
2023-01-01 23:00:00,16602.39,16625.0,16600.8,16608.6,1878.22655,1672615799999,31204306.42908520,63408,923.22987000,15338212.27316320,0
2023-01-01 23:30:00,16608.0,16621.44,16602.61,16616.75,1968.3884,1672617599999,32696384.48221370,64990,982.72942000,16324137.47892000,0
2023-01-02 00:00:00,16617.17,16629.05,16587.82,16588.45,2310.22539,1672619399999,38373200.91688300,77433,1038.42257000,17248621.46090610,0
2023-01-02 00:30:00,16588.45,16599.35,16581.25,16588.35,2016.84409,1672621199999,33458937.55231420,71585,990.04769000,16424901.48851380,0
2023-01-02 01:00:00,16587.97,16589.2,16548.7,16568.83,4351.23681,1672622999999,72075240.41258680,121668,2104.73702000,34864074.02179310,0
2023-01-02 01:30:00,16568.34,16574.87,16563.04,16565.04,1440.61762,1672624799999,23869684.63292420,59257,711.64129000,11791377.04342570,0
2023-01-02 02:00:00,16565.03,16580.31,16555.0,16577.35,1794.73719,1672626599999,29742985.66369860,64224,907.61444000,15041400.96057470,0
2023-01-02 02:30:00,16577.27,16595.92,16575.0,16587.85,1355.67852,1672628399999,22481902.44831200,54600,690.91503000,11457900.04223620,0
2023-01-02 03:00:00,16587.99,16594.99,16581.8,16584.06,1340.81067,1672630199999,22242007.59318490,57895,655.01923000,10865851.03226350,0
2023-01-02 03:30:00,16583.83,16707.25,16583.22,16661.94,4853.32481,1672631999999,80788643.65937330,113330,2622.30448000,43651404.67596550,0
2023-01-02 04:00:00,16662.38,16674.84,16633.54,16640.79,3062.04412,1672633799999,50987668.12320220,93473,1500.40989000,24984485.55065950,0
2023-01-02 04:30:00,16640.79,16650.56,16629.29,16639.44,1921.35033,1672635599999,31968665.06608390,74649,924.52977000,15383122.64732860,0
2023-01-02 05:00:00,16639.74,16644.32,16619.44,16634.53,2010.67706,1672637399999,33439573.84326600,75707,1006.10569000,16732600.08860940,0
2023-01-02 05:30:00,16634.53,16662.94,16622.91,16647.58,2966.10696,1672639199999,49376066.91676020,77911,1272.63289000,21184911.40489030,0
2023-01-02 06:00:00,16648.37,16663.27,16647.38,16647.91,1576.13169,1672640999999,26249708.59993160,70609,782.47410000,13031830.61485230,0
